player_name,team,age,cap_hit,years_remaining
Alexandre Doucet,DET,24,870000,1
Jakub Rychlovsky,DET,24,870000,1
Ondrej Becher,DET,22,865000,2
Amadeus Lombardi,DET,22,838333,1
Michael Milne,DET,23,775000,1
Wojciech Stachowiak,DET,26,775000,1
Eduards Tralmaks,DET,29,775000,1
Austin Watson,DET,34,775000,1
John Leonard,DET,27,775000,1
Sheldon Dries,DET,31,775000,1
Eddie Genborg,DET,18,975000,3
William Wallinder,DET,23,925000,1
Shai Buium,DET,23,925000,2
Anton Johansson,DET,21,870000,3
Erik Gustafsson,DET,34,2000000,1
Antti Tuomisto,DET,25,813750,1
William Lagesson,DET,30,775000,2
Eemil Viro,DET,24,828333,
Michal Postava,DET,24,975000,2
Sebastian Cossa,DET,23,863333,1
Carter Gylander,DET,24,855000,1
Trey Augustine,DET,21,1075000,3
Brennan Ali,DET,22,,
Austin Baker,DET,20,,
Kevin Bicker,DET,21,,
Brady Cleveland,DET,21,,
Kienan Draper,DET,24,,
Charlie Forslund,DET,19,,
Rudy Guimond,DET,20,,
Dylan James,DET,22,,
Larry Keenan,DET,21,,
Maximilian Kilpinen,DET,22,,
Owen Mehlenbacher,DET,22,,
Landon Miller,DET,20,,
Jack Phelan,DET,21,,
Max Plante,DET,20,,
Fisher Scott,DET,21,,
John Whipple,DET,20,,
Michal Pradel,DET,19,,
Brent Solomon,DET,19,,
Michal Svrcek,DET,19,,
Nikita Tyurin,DET,18,,
Will Murphy,DET,18,,
Grayden Robertson-Palmer,DET,18,,
Connor McDavid,EDM,29,12500000,1
Zach Hyman,EDM,33,5500000,3
Ryan Nugent-Hopkins,EDM,32,5125000,4
Trent Frederic,EDM,28,3850000,8
Adam Henrique,EDM,36,3000000,1
Jason Dickinson,EDM,30,2125000,1
Jack Roslovic,EDM,29,1500000,1
Kasperi Kapanen,EDM,29,1300000,1
Vasily Podkolzin,EDM,24,1000000,1
Josh Samanski,EDM,24,975000,2
Matthew Savoie,EDM,22,886667,2
Colton Dach,EDM,23,825000,1
Curtis Lazar,EDM,31,775000,1
Evan Bouchard,EDM,26,10500000,4
Darnell Nurse,EDM,31,9250000,5
Mattias Ekholm,EDM,35,6000000,1
Jake Walman,EDM,30,3400000,1
Connor Murphy,EDM,33,2200000,1
Ty Emberson,EDM,25,1300000,2
Spencer Stastney,EDM,26,825000,1
Tomas Cibulka,EDM,22,955000,2
Tristan Jarry,EDM,30,5375000,3
Connor Ingram,EDM,29,1150500,1
Leon Draisaitl,EDM,30,14000000,8
Mattias Janmark,EDM,33,1450000,2
Max Jones,EDM,28,1000000,1
